time,O2 (micromol/L),upwelling index
13-04-2022,61.16831373,-18
14-04-2022,65.84104168,34
15-04-2022,61.07655191,18
16-04-2022,63.65748175,47
17-04-2022,60.99381959,-85
18-04-2022,62.00602688,-97
19-04-2022,64.32292062,-99
20-04-2022,76.55214459,-281
21-04-2022,68.02645796,-116
22-04-2022,86.70558339,2
23-04-2022,70.57404208,5
13-01-2022,97.23927736,5
14-01-2022,95.6734275,8
15-01-2022,92.13706599,29
16-01-2022,90.21709776,30
17-01-2022,86.54067798,33
18-01-2022,88.42880893,12
19-01-2022,87.14157937,-1
20-01-2022,84.29426256,69
21-01-2022,87.33098936,72
22-01-2022,83.39370601,-1
23-01-2022,80.82160042,-12
05-02-2022,76.58755654,56
06-02-2022,88.09216904,12
07-02-2022,82.44842552,75
08-02-2022,82.19190824,123
09-02-2022,80.88222609,91
10-02-2022,82.30866151,79
11-02-2022,83.33582332,59
12-02-2022,77.90607968,3
13-02-2022,78.64417914,14
14-02-2022,79.93172999,103
15-02-2022,72.14142189,107
16-02-2022,75.61229085,123
17-02-2022,75.02235682,70
12-10-2021,75.74899029,3
13-10-2021,66.95041903,27
14-10-2021,64.99079985,1
15-10-2021,66.90223116,-1
16-10-2021,62.18826642,-4
17-10-2021,57.67259859,43
18-10-2021,68.05305587,-29
19-10-2021,73.52538172,-434
20-10-2021,81.41556036,-304
21-10-2021,83.10316178,-312
22-10-2021,78.81568237,-100
23-10-2021,101.3210179,-257
24-10-2021,93.209765,-509
25-10-2021,91.60167434,-139
26-10-2021,103.703159,-147
27-10-2021,93.01956273,-31
28-10-2021,116.1032924,-18
29-10-2021,91.10607671,64
02-03-2022,68.04611418,62
03-03-2022,77.25874087,229
04-03-2022,76.34472832,122
05-03-2022,72.7555017,132
06-03-2022,74.04929079,60
07-03-2022,74.02012633,86
08-03-2022,73.25919435,77
09-03-2022,73.49821862,57
10-03-2022,75.80120842,8
11-03-2022,74.75903368,0
12-03-2022,75.54969156,-187
13-03-2022,75.27990577,-90
18-02-2022,69.29927293,-115
19-02-2022,74.14712342,99
20-02-2022,73.39938767,136
21-02-2022,74.69684785,89
22-02-2022,74.62488277,73
23-02-2022,73.12292026,57
24-02-2022,73.79346963,31
25-02-2022,75.00995415,-50
26-02-2022,73.5489773,-333
27-02-2022,73.61719002,-228
28-02-2022,76.50681852,-209
01-03-2022,70.90084086,-19
24-04-2022,70.40984455,4
25-04-2022,77.83525969,65
26-04-2022,78.34138341,39
27-04-2022,73.3644471,33
28-04-2022,77.5131193,11
29-04-2022,69.93807986,-31
30-04-2022,66.91172064,29
01-05-2022,74.40218067,11
02-05-2022,69.34962541,117
03-05-2022,56.9967245,82
04-05-2022,69.50092139,29
05-05-2022,76.51783459,-7
06-05-2022,75.18840668,-75
07-05-2022,73.51120474,38
08-05-2022,68.89670119,30
09-05-2022,69.93907176,9
10-05-2022,67.8568178,27
11-05-2022,60.45683008,-2
12-05-2022,63.05506261,-61
13-05-2022,65.90378412,-36
14-05-2022,66.45682964,-15
15-05-2022,62.97517193,11
16-05-2022,66.80143335,99
17-05-2022,61.68454828,82
18-05-2022,54.50502982,80
19-05-2022,64.40198441,176
20-05-2022,67.97968855,181
21-05-2022,60.62343149,174
22-05-2022,64.07633412,61
23-05-2022,63.49567234,124
24-05-2022,63.94519983,56
25-05-2022,60.7859583,68
26-05-2022,60.28051383,11
27-05-2022,56.90277528,-2
28-05-2022,60.10935294,17
29-05-2022,55.54023546,82
30-05-2022,47.95410806,86
31-05-2022,60.21723986,46
01-06-2022,52.83658392,21
02-06-2022,54.91312507,9
03-06-2022,57.86981999,-27
04-06-2022,59.02302557,-229
05-06-2022,61.89932969,-15
06-06-2022,64.40004626,41
07-06-2022,66.76506537,-3
08-06-2022,,18
09-06-2022,,-24
10-06-2022,,-3
11-06-2022,,15
12-06-2022,,137
13-06-2022,,40
14-06-2022,,52
15-06-2022,,23
16-06-2022,,17
17-06-2022,,55
18-06-2022,66.8440426,34
19-06-2022,57.24744732,57
20-06-2022,61.49823677,151
27-09-2022,69.92633487,-4
28-09-2022,74.1779874,-2
29-09-2022,62.07475673,49
30-09-2022,55.72364233,56
01-10-2022,64.44351868,3
02-10-2022,63.20955066,-2
03-10-2022,67.42067201,4
04-10-2022,71.56716859,11
05-10-2022,64.1373901,55
06-10-2022,45.23312035,58
07-10-2022,58.68706809,55
08-10-2022,56.36180001,61
09-10-2022,56.29039903,50
10-10-2022,59.69317662,99
11-10-2022,62.63994529,75
18-12-2021,77.45391047,-70
19-12-2021,83.0062262,-104
20-12-2021,64.15062255,-265
21-12-2021,77.72653555,-102
22-12-2021,78.72651344,-165
23-12-2021,83.70896068,15
24-12-2021,82.21002967,-50
25-12-2021,,19
26-12-2021,,15
27-12-2021,,36
28-12-2021,,-10
29-12-2021,,37
30-12-2021,154.3748339,36
31-12-2021,,42
01-01-2022,,-16
02-01-2022,,-446
03-01-2022,76.95176361,-232
04-01-2022,96.51737791,-89
05-01-2022,84.37865887,-16
06-01-2022,79.7459737,-165
07-01-2022,88.12236874,-15
08-01-2022,87.93806972,-23
09-01-2022,82.91156639,-239
10-01-2022,87.95281778,-116
11-01-2022,96.02100393,-65
12-01-2022,94.48070851,-54
